id,datetime,idPostavshik,idTovar,count,idRabotnik
1,2020-12-30,1,2,1567,2
2,2020-12-30,2,1,323,3
3,2020-12-30,1,2,832,1
4,2020-12-30,4,3,1328,5
5,2020-12-30,3,3,182,4
6,2020-12-30,1,2,1567,2
7,2020-12-30,2,1,323,3
8,2020-12-30,1,2,832,1
9,2020-12-30,4,3,1328,5
10,2020-12-30,3,3,182,4
11,2020-12-30,1,2,1567,2
12,2020-12-30,2,1,323,3
13,2020-12-30,1,2,832,1
14,2020-12-30,4,3,1328,5
15,2020-12-30,3,3,182,4
16,2020-12-30,1,2,1567,2
17,2020-12-30,2,1,323,3
18,2020-12-30,1,2,832,1
19,2020-12-30,4,3,1328,5
20,2020-12-30,3,3,182,4
21,2020-12-30,1,2,1567,2
22,2020-12-30,2,1,323,3
23,2020-12-30,1,2,832,1
24,2020-12-30,4,3,1328,5
25,2020-12-30,3,3,182,4
26,2020-12-30,1,2,1567,2
27,2020-12-30,2,1,323,3
28,2020-12-30,1,2,832,1
29,2020-12-30,4,3,1328,5
30,2020-12-30,3,3,182,4
31,2020-12-30,1,2,1567,2
32,2020-12-30,2,1,323,3
33,2020-12-30,1,2,832,1
34,2020-12-30,4,3,1328,5
35,2020-12-30,3,3,182,4
36,2020-12-30,1,2,1567,2
37,2020-12-30,2,1,323,3
38,2020-12-30,1,2,832,1
39,2020-12-30,4,3,1328,5
40,2020-12-30,3,3,182,4
41,2020-12-30,1,2,1567,2
42,2020-12-30,2,1,323,3
43,2020-12-30,1,2,832,1
44,2020-12-30,4,3,1328,5
45,2020-12-30,3,3,182,4
46,2020-12-30,1,2,1567,2
47,2020-12-30,2,1,323,3
48,2020-12-30,1,2,832,1
49,2020-12-30,4,3,1328,5
50,2020-12-30,3,3,182,4
51,2020-12-30,1,2,1567,2
52,2020-12-30,2,1,323,3
53,2020-12-30,1,2,832,1
54,2020-12-30,4,3,1328,5
55,2020-12-30,3,3,182,4
56,2020-12-30,1,2,1567,2
57,2020-12-30,2,1,323,3
58,2020-12-30,1,2,832,1
59,2020-12-30,4,3,1328,5
60,2020-12-30,3,3,182,4
61,2020-12-30,1,2,1567,2
62,2020-12-30,2,1,323,3
63,2020-12-30,1,2,832,1
64,2020-12-30,4,3,1328,5
65,2020-12-30,3,3,182,4
66,2020-12-30,1,2,1567,2
67,2020-12-30,2,1,323,3
68,2020-12-30,1,2,832,1
69,2020-12-30,4,3,1328,5
70,2020-12-30,3,3,182,4
71,2020-12-30,1,2,1567,2
72,2020-12-30,2,1,323,3
73,2020-12-30,1,2,832,1
74,2020-12-30,4,3,1328,5
75,2020-12-30,3,3,182,4
76,2020-12-30,1,2,1567,2
77,2020-12-30,2,1,323,3
78,2020-12-30,1,2,832,1
79,2020-12-30,4,3,1328,5
80,2020-12-30,3,3,182,4
81,2020-12-30,1,2,1567,2
82,2020-12-30,2,1,323,3
83,2020-12-30,1,2,832,1
84,2020-12-30,4,3,1328,5
85,2020-12-30,3,3,182,4
86,2020-12-30,1,2,1567,2
87,2020-12-30,2,1,323,3
88,2020-12-30,1,2,832,1
89,2020-12-30,4,3,1328,5
90,2020-12-30,3,3,182,4
91,2020-12-30,1,2,1567,2
92,2020-12-30,2,1,323,3
93,2020-12-30,1,2,832,1
94,2020-12-30,4,3,1328,5
95,2020-12-30,3,3,182,4
96,2020-12-30,1,2,1567,2
97,2020-12-30,2,1,323,3
98,2020-12-30,1,2,832,1
99,2020-12-30,4,3,1328,5
100,2020-12-30,3,3,182,4
101,2020-12-30,1,2,1567,2
102,2020-12-30,2,1,323,3
103,2020-12-30,1,2,832,1
104,2020-12-30,4,3,1328,5
105,2020-12-30,3,3,182,4
